PVWatts: Hourly PV Performance Data,,,,,,,,,,
Requested Location:,6651 kingsbury,,,,,,,,,
Location:,"Lat, Lon: 34.57, -112.5",,,,,,,,,
Lat (deg N):,34.57,,,,,,,,,
Long (deg W):,112.5,,,,,,,,,
Elev (m):,1688.300049,,,,,,,,,
DC System Size (kW):,4,,,,,,,,,
Module Type:,Standard,,,,,,,,,
Array Type:,Fixed (open rack),,,,,,,,,
Array Tilt (deg):,20,,,,,,,,,
Array Azimuth (deg):,180,,,,,,,,,
System Losses:,14.08,,,,,,,,,
Invert Efficiency:,96,,,,,,,,,
DC to AC Size Ratio:,1.2,,,,,,,,,
Average Cost of Electricity Purchased from Utility ($/kWh):,0.12,,,,,,,,,
Capacity Factor (%),"19.5	",,,,,,,,,
,,,,,,,,,,
Month,Day,Hour,Beam Irradiance (W/m^2),Diffuse Irradiance (W/m^2),Ambient Temperature (C),Wind Speed (m/s),Plane of Array Irradiance (W/m^2),Cell Temperature (C),DC Array Output (W),AC System Output (W)
1,1,0,0,0,-2,3,0,-2,0,0
1,1,1,0,0,-3,3,0,-3,0,0
1,1,2,0,0,-3,3,0,-3,0,0
1,1,3,0,0,-3,3,0,-3,0,0
1,1,4,0,0,-3,3,0,-3,0,0
1,1,5,0,0,-2,2,0,-2,0,0
1,1,6,0,0,-2,2,0,-2,0,0
1,1,7,0,0,-1,2,0,-1,0,0
1,1,8,621,35,0,2,259.497,5.156,861.154,821.812
1,1,9,825,54,3,2,506.086,15.868,1741.6,1675.773
1,1,10,913,65,6,2,694.038,24.606,2354.457,2265.941
1,1,11,962,67,7,2,818.206,29.384,2735.589,2631.201
1,1,12,974,69,8,2,863.084,31.868,2856.878,2747.157
1,1,13,963,68,8,2,827.62,31.107,2745.54,2640.72
1,1,14,928,63,8,1,715.471,32.125,2345.239,2257.09
1,1,15,850,54,6,0,533.896,29.916,1729.229,1663.824
1,1,16,660,38,4,0,293.348,18.536,933.041,891.807
1,1,17,0,0,2,1,0,2,0,0
1,1,18,0,0,1,1,0,1,0,0
1,1,19,0,0,0,1,0,0,0,0
1,1,20,0,0,0,1,0,0,0,0
1,1,21,0,0,0,1,0,0,0,0
1,1,22,0,0,0,1,0,0,0,0
1,1,23,0,0,0,1,0,0,0,0
1,2,0,0,0,0,1,0,0,0,0
1,2,1,0,0,0,1,0,0,0,0
1,2,2,0,0,0,1,0,0,0,0
1,2,3,0,0,0,1,0,0,0,0
1,2,4,0,0,0,1,0,0,0,0
1,2,5,0,0,0,1,0,0,0,0
1,2,6,0,0,0,1,0,0,0,0
1,2,7,0,0,0,1,0,0,0,0
1,2,8,601,37,2,2,254.131,6.996,837.683,798.948
1,2,9,827,53,5,2,505.451,17.785,1723.943,1658.718
1,2,10,927,60,8,2,697.201,26.609,2342.564,2254.521
1,2,11,979,61,10,1,824.206,36.546,2660.817,2559.65
1,2,12,995,61,11,1,870.916,39.325,2778.354,2672.102
1,2,13,987,59,12,1,836.415,39.476,2662.311,2561.08
1,2,14,949,56,12,0,722.891,42.135,2254.213,2169.646
1,2,15,598,84,10,0,437.937,30.569,1421.773,1366.4
1,2,16,688,36,7,0,302.854,20.934,952.428,910.676
1,2,17,0,0,5,1,0,5,0,0
1,2,18,0,0,3,1,0,3,0,0
1,2,19,0,0,1,1,0,1,0,0
1,2,20,0,0,1,1,0,1,0,0
1,2,21,0,0,1,1,0,1,0,0
1,2,22,0,0,1,1,0,1,0,0
1,2,23,0,0,1,1,0,1,0,0
1,3,0,0,0,0,1,0,0,0,0
1,3,1,0,0,0,1,0,0,0,0
1,3,2,0,0,0,1,0,0,0,0
1,3,3,0,0,0,1,0,0,0,0
1,3,4,0,0,1,1,0,1,0,0
